CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC201095;The archaeological team at Yinxu has suffered a major setback. It appears that the excavation site was miscalculated, and after months of effort, they have found nothing but empty soil. This failure is a heavy blow to $COUNTRY_ADJ$ archaeology.;;;;;;;;;;;;;x
EVTNAME201095;Yinxu Expedition Failed;;;;;;;;;;;;;x
EVTOPTA201095;We must start over again!;;;;;;;;;;;;;x
EVTDESC201096;Scientific research and aerial surveys confirm what historians have long suspected: Yinxu, once thought to be mere legend, is now revealed as a center of ancient Chinese civilization. Excavations have uncovered royal tombs, sacrificial pits, and thousands of oracle bones inscribed with early Chinese characters. The most prestigious discovery was made by a $COUNTRY_ADJ$ archaeologist, who unearthed evidence of large-scale bronze production, further proving the technological sophistication of the Shang Dynasty.;;;;;;;;;;;;;x
EVTNAME201096;Secrets of Yinxu Revealed;;;;;;;;;;;;;x
EVTOPTA201096;History is rewritten before our eyes.;;;;;;;;;;;;;x
EVTNAME2000000104;Choose a writing System!;;;;;;;;;;;;;x
EVTDESC2000000104;Our state has been sufficiently westernized to finally adopt its own writing system.;;;;;;;;;;;;;x
EVTOPTA2000000104;We shall adopt the widely used Latin alphabet the system of modernity.;;;;;;;;;;;;;x
EVTOPTB2000000104;We shall adopt the widely used Cyrilic alphabet the system of autocracy.;;;;;;;;;;;;;x
EVTOPTC2000000104;We shall adopt the Hellenic alphabet the system of antiquity.;;;;;;;;;;;;;x
EVTOPTD2000000104;We shall adopt widely used Arabic Abjad the system of islam.;;;;;;;;;;;;;x
EVTOPTE2000000104;We shall adopt the Ethiopic Abugida a truly African system.;;;;;;;;;;;;;x
EVTOPTF2000000104;We shall adopt the Chinese Logographic, the ideal system for multilingual states.;;;;;;;;;;;;;x
EVTOPTG2000000104;We shall create our own African System.;;;;;;;;;;;;;x
EVTNAME2000000105;Choose a writing System other options!;;;;;;;;;;;;;x
EVTDESC2000000105;Our state has been sufficiently westernized to finally adopt its own writing system.;;;;;;;;;;;;;x
EVTOPTL2000000104;More Options;;;;;;;;;;;;;x
EVTOPTG2000000105;Starting Options.;;;;;;;;;;;;;x
EVTNAME2000000106;Anti Literacy Movement!;;;;;;;;;;;;;x
EVTDESC2000000106;Their movement is based on the belief that literacy is a tool of oppression and control by the ruling class, and that illiteracy promotes freedom, creativity, and independence. In addition other aspects of the Anti-Writing coalition include the traditionalist elements of our society and the ones against westernization.;;;;;;;;;;;;;x
EVTOPTA2000000106;Foolishness of the highest Order.;;;;;;;;;;;;;x
EVTNAME2000000107;Choose a writing System other options!;;;;;;;;;;;;;x
EVTDESC2000000107;Our state has been sufficiently westernized to finally adopt its own writing system.;;;;;;;;;;;;;x
EVTNAME2000000108;Reactionaries Push Back Literacy!;;;;;;;;;;;;;x
EVTDESC2000000108;The Reactionary revolution successfully pushed back our writing reforms. By burning libraries, destroying government offices, killing teachers, and exiling officials. Our writing system, while not entirely lost, is as if it functionally never existed.;;;;;;;;;;;;;x
EVTOPTA2000000108;Well,I guess we are returning to oral history.;;;;;;;;;;;;;x
EVTOPTA2000000107;We shall adopt the widely used Latin alphabet the system of modernity.;;;;;;;;;;;;;x
EVTOPTB2000000107;We shall adopt the widely used Cyrilic alphabet the system of autocracy.;;;;;;;;;;;;;x
EVTOPTC2000000107;We shall adopt the Hellenic alphabet the system of antiquity.;;;;;;;;;;;;;x
EVTOPTD2000000107;We shall adopt widely used Arabic Abjad the system of islam.;;;;;;;;;;;;;x
EVTOPTL2000000107;More Options;;;;;;;;;;;;;x
EVTNAME2000000109;Craftsmen Exploit Salvage (Part 1);;;;;;;;;;;;;
EVTDESC2000000109;This event converts all non-core/non-accepted craftsmen into farmers if they are on your cores. Part 2 will spawn in 3 days, be sure to select this option FIRST.;;;;;;;;;;;;;
EVTNAME2000000110;Craftsmen Exploit Salvage (Part 2);;;;;;;;;;;;;
EVTDESC2000000110;This event converts all 100% unemployed farmers into laborers.;;;;;;;;;;;;;
EVTOPTA2000000109;USE THIS OPTION FIRST.;;;;;;;;;;;;;x
EVTOPTA2000000110;USE THIS OPTION SECOND.;;;;;;;;;;;;;x
EVTNAME2000000115;Greek Language Question!;;;;;;;;;;;;;x
EVTDESC2000000115;As Greece marches towards modernity, the question of its national language has become a contentious topic. The Great Greek Language Debate brings together scholars, politicians, and intellectuals from across the nation to discuss the future of the Greek language. The debate primarily revolves around three prominent linguistic forms: Demotic Greek, Katharevousa Greek, and Ancient Greek.;;;;;;;;;;;;;x
EVTOPTA2000000115;The proponents of Demotic Greek argue passionately for its adoption as the national language. They assert that Demotic Greek, being the language of the common people, is more accessible, flexible, and reflective of contemporary Greek society. Its advocates highlight its rich literary tradition, its ability to adapt to modernity, and its potential to unite the nation.;;;;;;;;;;;;;x
EVTOPTB2000000115;Opposing them are the proponents of Katharevousa Greek, who champion its classical roots and precision. They argue that Katharevousa is the language of higher learning, capable of expressing complex ideas with clarity and eloquence. They emphasize its closer nature to ancient greek without losing touch with modernity, asserting that it may act as a purifier of the Greek language.;;;;;;;;;;;;;x
EVTOPTC2000000115;Lastly, a smaller group of passionate scholars advocates for the revival of Ancient Greek. They believe that embracing the language of the ancients would restore Greece to its former intellectual and cultural prominence. They argue that Ancient Greek, with its philosophical depth and profound literary heritage, represents the true essence of Hellenic identity.;;;;;;;;;;;;;x
EVTNAME2000000116;The language is festering;;;;;;;;;;;;;x
EVTDESC2000000116;With no decision taken; the country is experiencing a linguistic phenomenon known as diglossia, where two distinct varieties of the Greek language, Demotic Greek and Katharevousa Greek, are being used in different social contexts. This has led to debates and tensions among the population as well as a diminishment in the areas of research and education.;;;;;;;;;;;;;x
EVTOPTA2000000116;Why is it so hard to speak both?;;;;;;;;;;;;;x
EVTNAME2000000117;Koini Diminishment;;;;;;;;;;;;;x
EVTDESC2000000117;The traditional role of Koini in religious matters is being usurped by the usage of either Church Slavonic or Albanian.;;;;;;;;;;;;;x
EVTOPTA2000000117;We won't be diminished!;;;;;;;;;;;;;x
EVTNAME2000000118;Koini Severe Diminishment;;;;;;;;;;;;;x
EVTDESC2000000118;The traditional role of Koini in religious matters is being usurped by the usage of either Church Slavonic or Albanian.;;;;;;;;;;;;;x
EVTOPTA2000000118;We won't be diminished!;;;;;;;;;;;;;x
EVTNAME2000000119;Koini Strengthening;;;;;;;;;;;;;x
EVTDESC2000000119;The traditional role of Koini in religious matters is being reclaimed from Church Slavonic and Albanian.;;;;;;;;;;;;;x
EVTOPTA2000000119;As it ought to be!;;;;;;;;;;;;;x
EVTDESC2000000120;We recently found ourselves in possession of Monzo. After unraveling our flag some locals claimed to have seen it before. Thus the Governor decided to send forth an expedition to find the supposed flag. Following the river downwards we found a small island called Kamina. There we met two Cretan brothers and their mixed native families. They seemed pleased to be under Greek rule once again. The brothers surprisingly enough seem to have become local heroes. Perhaps the brothers and the island could serve as a means by which we more thoroughly colonize the region?;;;;;;;;;;;;;x
EVTNAME2000000120;Greeks in Zambia!;;;;;;;;;;;;;x
EVTOPTA2000000120;Such opportunities should not be wasted!;;;;;;;;;;;;;x
EVTOPTB2000000120;Savages Masquerading as Greeks!;;;;;;;;;;;;;x
